Blog	four	looking	second	here	k	music	until	example	want	wrong	series	re	wasn	service	needed	project	came	net	best	country	asked	much	life	things	big	had	easy	possible	right	old	people	support	happy	back	time	team	along	love	working	such	years	course	didn	internet	million	open	future	note	take	ways	going	artist	where	many	photos	technology	being	around	world	favorite	other	image	her	am	having	original	number	tv	th	large	small	past	hours	pick	via	company	information	its	always	found	really	major	self	also	play	sometimes	set	see	available	last	whole	rules	recent	using	couple	d	continue	anything	into	link	line	posted	us	ago	results	try	video	let	great	makes	tools	next	process	high	books	could	david	system	lot	face	fact	should	move	means	stuff	edition	email	ve	off	less	web	five	become	does	doing	told	word	work	interview	order	office	then	them	they	network	another	john	do	away	com	hand	photo	thanks	night	security	comments	marketing	post	months	way	update	together	change	live	social	write	product	remember	still	non	now	january	year	space	shows	care	than	online	only	between	article	comes	actually	these	media	real	read	early	business	aren	start	trying	since	month	very	learned	family	put	site	history	help	soon	event	miss	latest	pretty	during	x	close	won	probably	both	else	look	used	game	run	within	doesn	youtube	go	facebook	click	started	control	links	software	him	times	data	man	need	based	she	state	problem	keep	well	page	twitter	home	north	he	piece	friends	amp	companies	likely	even	while	ever	never	give	amazing	before	personal	better	weeks	went	content	isn	user	seen	don	m	points	stop	bad	said	against	three	website	say	make	left	just	human	yes	yet	popular	down	digital	finally	did	making	sunday	may	maybe	talk	nbsp	group	interesting	rock	morning	after	thing	think	first	little	anyone	were	show	enough	get	nearly	behind	reading	across	according	those	different	pay	same	running	money	either	users	videos	film	again	important	u	public	search	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	believe	build	most	services	find	please	point	simple	understand	itself	yesterday	bit	google	often	decision	single	others	later	ll	day	including	almost	thought	add	works	buy	minutes	special	under	every	would	phone	me	end	over	writing	each	got	free	days	already	top	too	took	talking	though	watch	amazon	report	full	however	news	quickly	several	everything	christmas	why	check	no	posts	today	huge	name	turn	place	given	white	any	sure	written	review	outside	come	case	myself	events	week	without	when	seems	blog	there	program	far	sony	list	design	version	short	might	friday	feel	says	story	kind	nothing	part	his	wrote	art	use	recently	question	long	called	once	issues	app	few	something	united	six	instead	our	out	york	their	which	who	view	stories	gets	know	because	getting	own	apps	made	whether	book
ongoing by Tim Bray	0	0	0	8	0	0	0	0	0	1	0	9	0	0	0	0	0	1	2	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	2	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	2	0	0	0	1	3	1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	3	0	0	0	0	2	1	1	3	0	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	0	1	3	0	0	0	1	1	0	0	0	4	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	1	0	0	0	0	0	0	1	0	1	3	0	0	0	2	0	0	0	0	1	3	0	1	0	0	0	0	0	3	0	0	0	0	1	0	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	1	0	1	0	0
The Viral Garden	5	10	3	26	1	6	0	4	34	4	9	4	8	5	2	4	1	0	8	0	1	8	2	6	13	36	2	1	7	1	73	2	1	19	25	5	4	4	1	8	6	3	14	0	0	2	1	0	7	6	11	1	15	23	0	0	18	7	4	2	17	1	5	26	3	1	5	1	9	3	5	1	4	2	9	13	6	12	6	12	9	0	4	10	2	8	0	24	0	14	1	10	5	31	6	6	1	1	10	20	2	0	16	5	5	4	0	10	13	3	7	10	1	1	0	8	0	0	14	0	3	17	2	7	3	0	3	20	6	5	1	0	11	5	14	3	1	17	0	1	0	22	50	90	6	8	1	39	3	22	1	0	2	3	0	23	15	41	5	28	2	4	3	3	134	9	2	3	14	0	22	1	18	6	2	1	9	8	16	2	2	2	10	26	122	2	9	2	13	11	7	7	3	1	25	5	0	4	11	1	11	3	28	2	1	3	8	0	5	11	11	6	8	1	1	1	0	2	3	0	15	10	3	14	0	8	0	3	1	0	1	8	0	1	1	5	3	14	8	71	1	2	17	0	11	3	29	7	18	8	3	10	10	5	9	6	10	5	7	15	7	4	4	14	16	1	2	3	13	0	3	3	7	20	9	21	1	1	1	7	2	0	1	11	4	4	12	4	2	0	5	4	8	0	8	13	30	26	3	0	33	5	5	24	0	1	8	0	2	10	4	3	16	0	3	2	10	0	0	3	5	0	0	3	8	8	6	12	4	16	9	0	1	15	3	6	1	6	24	2	9	3	6	2	13	7	0	8	0	9	0	3	11	4	17	21	1	3	11	10	1	2	1	1	1	13	30	0	56	5	14	5	3	9	6	8	2	4	6	8	4	5	0	0	0	3	1	1	1	10	0	1	24	7	19	7	4	1	10	2	3	2	0	8	11	5	0	1	7	8	3	12	7	2	40	3	46	41	0	1	0	12	0	0	1	7	0	2	0	2	0	2	7	8	6	0	20	6	0	8	4	3	2	0	22	10	0	0	5	6	32	2	72	21	15	5	3	1	18	40	7	25	0	7	1	0
flagrantdisregard	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	1	0	0	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	3	0	5	2	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
933e24da60b9fe6013b282b5d8412ab6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Captain's Quarters	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	1	2	1	0	1	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	2	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	3	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	2	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	1	1	0	0	0	0	6	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	6	0	3	1	0	0	0	0	1	1	0	1	0	1	1	0	0	4	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0
90a0ac398aa208348d9c97f993ce8bb6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e36e10136f59ee5e77181190a280b424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blog maverick	0	2	0	2	0	0	0	0	0	2	0	0	3	1	0	1	0	1	1	0	1	1	0	3	1	2	0	0	1	3	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	2	0	2	2	2	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	2	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	1	9	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	1	1	2	1	1	0	3	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	2	0	2	0	2	0	0	0	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	1	0	0	0	2	0	1	0	1	0	0	2	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	4	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	2	0	0	2	0	0	0	0	3	0	0	0	0	0	0	2	0	0	2	0	0	0	1	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	2	0	2	1	3	0	0	0	3	1	1	1	0	0	0	1
Topix Blog	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	1	0	0	0	0	3	0	3	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	2	0	2	0	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	2	1	1	0	0	0	1	0	1	1	0	0	0	1	3	1	0	0	0	0	0	2	0	1	3	0	2	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	3	0	2	0	0	4	0	2	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	2	0	0	0	2	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	2	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	5	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	3	0	0	1	0	0	0	6	2	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0
TUAW: Apple news, reviews and how-tos since 2004 RSS Feed	0	0	0	3	2	2	1	1	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	1	1	1	1	0	0	0	1	2	1	1	6	0	0	1	4	1	1	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	5	0	0	0	2	1	0	1	0	0	0	0	0	4	0	2	0	0	1	2	0	2	1	0	0	2	0	2	0	0	1	2	0	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	1	2	2	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	1	0	0	5	0	0	0	1	1	0	0	5	4	3	0	0	0	0	0	3	0	0	0	0	3	0	0	0	1	0	0	2	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	1	0	2	0	1	0	1	1	0	0	1	4	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	2	0	0	1	0	0	2	0	0	1	0	5	0	0	0	1	0	2	0	1	0	0	1	1	0	1	0	0	2	0	0	0	0	0	1	0	7	1	0	0	0	2	1	0	0	0	2	0	0	0	1	0	0	1	0	0	2	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	4	0	0	0	10	0	1	0	0	0	0	0	0	0	1	0	0	0	5	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	3	1	3	0	0	4	0	0	0	3	3	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0	17	0	3	0	0	0	6	2	2	3	2	1	0	1	0	1	0	0	3	11	0	0	0
4f44f185b12521c53674f4f24da22998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Boing Boing	1	0	0	0	0	2	0	0	0	0	2	1	0	1	0	0	0	2	2	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	4	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	4	0	1	0	0	0	0	0	1	2	0	1	0	2	2	0	1	1	0	0	0	2	0	0	1	3	0	1	3	0	0	0	1	1	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	3	3	0	0	0	2	2	1	0	0	1	0	1	1	1	4	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	24	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	4	3	0	0	0	0	0	1	0	2	0	2	1	0	0	0	1	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	2	0	0	0	1	0	1	3	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	1	0	3	1	6	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	1	0	3	0	0	0	1	0	0	0	0	1	0	3
WIRED	0	2	1	4	0	0	0	0	2	0	0	4	0	0	0	0	0	0	3	0	0	0	0	2	5	1	0	0	2	0	3	0	1	0	5	0	0	0	0	0	1	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	1	5	5	5	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0	0	1	0	4	3	2	0	0	1	1	3	0	0	0	0	0	1	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	1	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	1	0	0	3	4	0	1	3	3	0	0	0	0	0	0	3	0	0	20	0	0	0	1	0	0	0	0	0	0	1	0	3	0	17	4	1	0	1	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	3	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	2	0	1	5	1	0	0	0	0	3	0	0	1	2	0	2	1	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	1	0	26	1	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	5	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	2	4	0	1	0	0	1	0	0	3	3	0	1	0	1	1	0	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	14	5	0	1	1	2	1	0	0	4	1	0	2	0	0	1	1
